,centroidlatlongstring
0,"51.38790614567346,-0.2869004476578584"
1,"51.3553348404081,-0.08715655570117863"
2,"51.3719993978382,0.0515241760673269"
3,"51.46837779734302,-0.3671230752793297"
4,"51.52247494698491,-0.33102635782357515"
5,"51.56438718517206,0.22110835562010414"
6,"51.54151318409074,-0.4456576306904548"
7,"51.59772266469471,-0.34126674647667954"
8,"51.558556167294114,-0.26782066181021663"
9,"51.61602713433065,-0.21001710696687975"
10,"51.453089298474644,-0.1182785850255059"
11,"51.473146483988856,-0.07460182238779428"
12,"51.44809128128871,-0.02025478454381393"
13,"51.47280681047436,0.05624350472190433"
14,"51.45881889060674,0.14035467339218147"
15,"51.650995420149336,-0.08727164061219245"
16,"51.59403284882904,-0.012640094543445795"
17,"51.58567207652482,0.0758665987231051"
18,"51.362090283959475,-0.17757299655395445"
19,"51.442174353658224,-0.3129689328868398"
20,"51.40994969352783,-0.19725206346545215"
21,"51.4513538637452,-0.1864432026256269"
22,"51.4959537604201,-0.22128989384444053"
23,"51.501612944529356,-0.19277121106227174"
24,"51.513899351069696,-0.16130399696770992"
25,"51.54639448332641,-0.1574235972433707"
26,"51.5171711689242,-0.03558765197665343"
27,"51.548486649125394,-0.1102507075969271"
28,"51.55226666766312,-0.06331613302265708"
29,"51.59037218916162,-0.1074695909366275"
30,"51.52834520326224,0.036380885874562"
31,"51.54527672097611,0.1335276806495305"
32,"51.51484462673511,-0.09217134558456616"
